"Date","JYP ENTERTAINMENT","SM ENTERTAINMENT","YG ENTERTAINMENT","FNC ENTERTAINMENT","CUBE ENTERTAINMENT"
"200101","857203,6","901536,80","497704,60","120952,10","109218,10"
"200102","855428,9","889813,10","500434,20","121526,80","111078,30"
"200103","858978,4","872227,80","516812,10","123681,50","107092,20"
"200106","812835,1","827679,00","545928,30","121957,70","107623,70"
"200107","825258,1","848780,90","559576,40","123537,80","106959,40"
"200108","803960,9","822989,30","555936,90","123394,20","102574,70"
"200109","837681,1","853470,70","583233,30","122101,40","110945,40"
"200110","834131,7","835885,40","577774,10","123250,60","112406,90"
"200113","924644,1","910915,60","631457,00","129858,40","115595,80"
"200114","919320,0","892157,90","636916,30","128421,90","115197,20"
"200115","940616,6","883951,50","651474,40","127847,30","113204,10"
"200116","953040,2","886296,40","639645,90","126841,80","114001,40"
"200117","953040,2","883951,50","636006,40","126123,50","109350,90"
"200120","951265,5","888641,30","626907,60","120377,60","106560,80"
"200121","931743,0","844091,90","605980,40","118797,40","105497,80"
"200122","969012,6","855814,90","617808,80","118079,20","104700,60"
"200123","958364,4","844091,90","605980,40","117504,60","104833,40"
"200124","958364,4","844091,90","605980,40","117504,60","104833,40"
"200127","958364,4","844091,90","605980,40","117504,60","104833,40"
"200128","894473,3","771405,90","569585,10","112045,90","93805,30"
"200129","919320,0","787818,70","595971,70","113482,40","95266,90"
"200130","903346,9","788994,40","592332,10","112333,30","91945,20"
"200131","876726,2","770236,70","575044,40","110034,90","91280,80"
"200203","894473,3","779615,60","617808,80","110465,80","94071,10"
"200204","903346,9","796028,40","622358,20","112620,50","96329,80"
"200205","898022,8","793684,20","609619,90","112045,90","94868,30"
"200206","912221,1","805407,30","612349,50","114487,90","98721,50"
"200207","913995,8","796028,40","616898,90","113195,10","101777,40"
"200210","908671,7","785477,80","594151,90","112764,20","102973,30"
"200211","905121,6","799545,80","582323,40","112764,20","102308,90"
"200212","899797,4","803063,10","595061,80","112045,90","102574,70"
"200213","889149,2","797200,90","604366,10","113051,50","103106,10"
"200214","890923,9","796028,40","594354,00","113338,80","105232,00"
"200217","908671,7","798373,30","629851,40","113338,80","106029,30"
"200218","894473,3","783132,90","619839,30","111327,70","104966,30"
"200219","880275,6","776098,90","617108,80","111471,30","101910,30"
"200220","850104,8","763202,80","598904,90","111327,70","106826,50"
"200221","811060,4","738583,50","565227,90","106443,60","118784,70"
"200224","763141,8","703412,90","547024,10","102565,10","85036,00"
"200225","812835,1","739755,90","557036,30","103857,90","77595,30"
"200226","816384,6","728032,20","577970,60","104001,60","77728,20"
"200227","798636,8","705757,10","582521,60","102852,40","70553,30"
"200228","750718,8","667069,90","551575,10","98973,90","65371,40"
"200302","798636,8","696378,30","562497,40","97681,10","66832,90"
"200303","802186,2","694034,10","545203,80","98830,30","68028,80"
"200304","835906,4","697550,80","540652,80","98830,30","71616,30"
"200305","818159,3","696378,30","529730,50","100123,10","74937,90"
"200306","764916,5","663552,90","481490,40","98973,90","72812,10"
"200309","704574,9","619003,40","456915,30","93802,60","67895,90"
"200310","727646,8","622520,40","460556,10","93658,90","69357,40"
"200311","697476,0","611969,30","457825,60","90355,00","63245,50"
"200312","628261,3","548662,10","423238,30","85614,60","58595,10"
"200313","635360,3","528732,10","413226,20","80443,30","54210,40"
"200316","633585,5","508802,00","404124,30","76708,30","52084,50"
"200317","631810,8","501767,90","407765,10","71393,40","53014,70"
"200318","617612,8","480665,50","382279,80","67514,80","48630,00"
"200319","587442,0","445494,90","355884,30","57387,60","38532,00"
"200320","628261,3","456046,00","388651,10","57818,60","43315,20"
"200323","544848,1","391566,50","354063,90","51929,00","40392,10"
"200324","589216,8","433771,30","389561,30","53150,00","48630,00"
"200325","644234,0","479493,10","448723,60","60117,00","56735,00"
"200326","638909,8","473631,40","448723,60","66365,60","59525,20"
"200327","637135,0","480665,50","444172,70","67155,80","59525,20"
"200330","624711,8","487699,60","433250,40","67802,10","60189,50"
"200331","631810,8","493601,40","437801,30","70675,10","64840,00"
"200401","615838,1","477187,10","420507,80","70675,10","67364,40"
"200402","628261,3","499463,60","438711,50","69382,30","69091,70"
"200403","624711,8","495946,30","430519,80","70387,80","74406,50"
"200406","654882,5","526430,00","455094,90","71824,30","83308,70"
"200407","669080,5","528774,90","460556,10","72398,90","81980,00"
"200408","683278,5","532292,30","477849,70","75415,50","81714,30"
"200409","681503,8","544016,80","483310,90","76133,80","80119,80"
"200410","708124,9","576845,30","526089,80","80730,60","85966,10"
"200413","690377,2","581535,10","509706,30","81592,40","85567,40"
"200414","722322,7","597949,40","526089,80","81161,50","87560,50"
"200415","722322,7","597949,40","526089,80","81161,50","87560,50"
"200416","738295,1","626088,30","556126,10","82023,40","88756,30"
"200417","745394,6","626088,30","561587,20","84752,70","90350,80"
