"Date","JYP ENTERTAINMENT","SM ENTERTAINMENT","YG ENTERTAINMENT","FNC ENTERTAINMENT","CUBE ENTERTAINMENT"
"200101","24.150","38.450","27.350","8.420","4.110"
"200102","24.100","37.950","27.500","8.460","4.180"
"200103","24.200","37.200","28.400","8.610","4.030"
"200106","22.900","35.300","30.000","8.490","4.050"
"200107","23.250","36.200","30.750","8.600","4.025"
"200108","22.650","35.100","30.550","8.590","3.860"
"200109","23.600","36.400","32.050","8.500","4.175"
"200110","23.500","35.650","31.750","8.580","4.230"
"200113","26.050","38.850","34.700","9.040","4.350"
"200114","25.900","38.050","35.000","8.940","4.335"
"200115","26.500","37.700","35.800","8.900","4.260"
"200116","26.850","37.800","35.150","8.830","4.290"
"200117","26.850","37.700","34.950","8.780","4.115"
"200120","26.800","37.900","34.450","8.380","4.010"
"200121","26.250","36.000","33.300","8.270","3.970"
"200122","27.300","36.500","33.950","8.220","3.940"
"200123","27.000","36.000","33.300","8.180","3.945"
"200124","27.000","36.000","33.300","8.180","3.945"
"200127","27.000","36.000","33.300","8.180","3.945"
"200128","25.200","32.900","31.300","7.800","3.530"
"200129","25.900","33.600","32.750","7.900","3.585"
"200130","25.450","33.650","32.550","7.820","3.460"
"200131","24.700","32.850","31.600","7.660","3.435"
"200203","25.200","33.250","33.950","7.690","3.540"
"200204","25.450","33.950","34.200","7.840","3.625"
"200205","25.300","33.850","33.500","7.800","3.570"
"200206","25.700","34.350","33.650","7.970","3.715"
"200207","25.750","33.950","33.900","7.880","3.830"
"200210","25.600","33.500","32.650","7.850","3.875"
"200211","25.500","34.100","32.000","7.850","3.850"
"200212","25.350","34.250","32.700","7.800","3.860"
"200213","25.050","34.000","33.200","7.870","3.880"
"200214","25.100","33.950","32.650","7.890","3.960"
"200217","25.600","34.050","34.600","7.890","3.990"
"200218","25.200","33.400","34.050","7.750","3.950"
"200219","24.800","33.100","33.900","7.760","3.835"
"200220","23.950","32.550","32.900","7.750","4.020"
"200221","22.850","31.500","31.050","7.410","4.470"
"200224","21.500","30.000","30.050","7.140","3.200"
"200225","22.900","31.550","30.600","7.230","2.920"
"200226","23.000","31.050","31.750","7.240","2.925"
"200227","22.500","30.100","32.000","7.160","2.655"
"200228","21.150","28.450","30.300","6.890","2.460"
